url,title,current_price,current_price_numeric,old_price,old_price_numeric,discount_percent,discount_numeric,isbn,publisher,author,pages,pages_numeric,language,cover_type,description,rating,rating_numeric,reviews_count,availability,labels,categories,image_url
https://alinino.az/product/samuray-bez-mecha-611dff,Самурай без меча,21.78 AZN,21.78,24.20 AZN,24.20,−10%,10,9789851548534,Попурри,Масао Китами,208,208,Rus dili,Твердый,,5,5,2,Mövcud deyil,"Satıldı, Bestseller, Ekspress","Rus Dilində Kitablar, Bestsellerlər, Xanımlar üçün hədiyyələr, Bəylər üçün hədiyyələr, Qeyri-Bədii Ədəbiyyat, Bestseller, İş yoldaşları üçün hədiyyələr, Sevgili üçün hədiyyələr, Bestseller, Psixologiya. Ezoterika",https://static.insales-cdn.com/r/QU_MUvqhUcU/rs:fit:570:570:1/q:80/plain/images/products/1/3563/505818603/uk700813.jpg@jpg
https://alinino.az/product/jo-nesbo-the-kingdom,Jo Nesbo: The Kingdom,18.62 AZN,18.62,19.60 AZN,19.60,−5%,5,9781784709112,Vintage Publishing,Jo Nesbo,616,616,İngilis dili,Paperback,"Jo Nesbo, author of the number one bestselling Harry Hole series, is back with a tense and atmospheric thriller about two brothers bound together by dark secrets. When Roy and Carl's parents die suddenly, sixteen-year-old Roy is left as protector to his impulsive younger brother. But when Carl decides to travel the world in search of his fortune, Roy stays behind in their sleepy village, satisfied with his peaceful life as a mechanic. Some years later, Carl returns with his charismatic new wife, Shannon - an architect. They are full of exciting plans to build a spa hotel on their family land. Carl wants not only to make the brothers rich but the rest of the village, too. It's only a matter of time before what begins as a jubilant homecoming sparks off a series of events that threaten to derail everything Roy holds dear, as long-buried family secrets begin to rise to the surface... The Kingdom is a simmering and complex thriller full of unexpected twists, devastating family legacies and an ever growing body count.",0,0,0,Mövcud deyil,"Satıldı, Bestseller, Ekspress","İngilis Dilində Kitablar, Bestsellerlər, Bestseller, İngilis Dilində Bədii Ədəbiyyat, Xanımlar üçün hədiyyələr, Bəylər üçün hədiyyələr, İş yoldaşları üçün hədiyyələr, Bestseller, Detektiv və trillerlər",https://static.insales-cdn.com/r/87k9eLlWjcw/rs:fit:570:570:1/q:80/plain/images/products/1/1123/504300643/9781784709112.jpg@jpg
https://alinino.az/product/girl-in-pieces,Girl in Pieces,20.71 AZN,20.71,21.80 AZN,21.80,−5%,5,9781780749457,Oneworld Publications,Kathleen Glasgow,448,448,İngilis dili,Paperback,"A haunting, beautiful and necessary book' Nicola Yoon, author of Everything, Everything A Barnes & Noble Best Young Adult Books of 2016 | A New York Public Library Best Books for Teens in 2016| An Amazon Best YA Books of 2016 A heartbreaking, triumphant, funny and hopeful story of one girl's battle with self harm. Charlie Davis is in pieces. At seventeen, she's already lost more than most people lose in a lifetime. But she's learned how to forget it through cutting; the pain washes out the sorrow until there is nothing but calm. She doesn't have to think about her father or what happened under the bridge. Her best friend, Ellis, who is gone forever. Or the mother who has nothing left to give her. Kicked out of a special treatment center when her insurance runs out, Charlie finds herself in the bright and wild landscape of Tucson, Arizona, where she begins the unthinkable: the long journey of putting herself back together. Kathleen Glasgow is also the author of How to Make Friends with the Dark and You'd be Home Now",0,0,0,Mövcud deyil,"Satıldı, Bestseller, Ekspress","İngilis Dilində Kitablar, Bestsellerlər, Bestseller, İngilis Dilində Bədii Ədəbiyyat, Bestseller, Müasir  nəsr",https://static.insales-cdn.com/r/nwED_VEJuX0/rs:fit:570:570:1/q:80/plain/images/products/1/1035/504300555/9781780749457.jpg@jpg
https://alinino.az/product/never-let-me-go-with-gcse-and-a-level-study-guide-faber-educational-editions,Never Let Me Go: With GCSE and A Level study guide (Faber Educational Editions),26.60 AZN,26.60,28 AZN,28,−5%,5,9780571335770,Faber & Faber,Kazuo Ishiguro,368,368,İngilis dili,Paperback,"In one of the most memorable novels of recent years, Kazuo Ishiguro imagines the lives of a group of students growing up in a darkly skewed version of contemporary England. Narrated by Kathy, now thirty-one, Never Let Me Go hauntingly dramatises her attempts to come to terms with her childhood at a seemingly idyllic school, Hailsham, and with the fate that has always awaited her and her closest friends in the wider world. A story of love, friendship and memory, Never Let Me Go is charged throughout with a sense of the fragility of life.",0,0,0,Mövcud deyil,"Satıldı, Bestseller, Ekspress","İngilis Dilində Kitablar, Bestsellerlər, Bestseller, İngilis Dilində Bədii Ədəbiyyat, Xanımlar üçün hədiyyələr, Bəylər üçün hədiyyələr, İş yoldaşları üçün hədiyyələr, Bestseller, Müasir  nəsr",https://static.insales-cdn.com/r/qKsssYJUHKQ/rs:fit:570:570:1/q:80/plain/images/products/1/6628/504101348/9780571335770.jpg@jpg
https://alinino.az/product/zmey-i-golubka,Змей и голубка,15.66 AZN,15.66,17.40 AZN,17.40,−10%,10,9785171211417,АСТ,Шелби Махерин,640,640,Rus dili,Твердый,,5,5,2,Mövcud deyil,"Satıldı, Bestseller, Ekspress","Rus Dilində Kitablar, Bestsellerlər, Xanımlar üçün hədiyyələr, Bəylər üçün hədiyyələr, Bədii Ədəbiyyat, Bestseller, İş yoldaşları üçün hədiyyələr, Sevgili üçün hədiyyələr, Bestseller, Fantastika",https://static.insales-cdn.com/r/6Nqx5WlUmCs/rs:fit:570:570:1/q:80/plain/images/products/1/7462/503364902/uk152335.jpg@jpg
https://alinino.az/product/gelistiren-anne-baba-2,Geliştiren Anne - Baba,10.62 AZN,10.62,11.80 AZN,11.80,−10%,10,9786257631532,Kronik Kitap,Doğan Cüceloğlu,192,192,Türk dili,Yumşaq,"Bir anne, bana yolladığı mektupta şöyle diyor; “Çok yorgun ve sorumlulukların altında ezilmiş hissediyorum. Annem kendi dönemlerinde böyle bir yılgınlık hissetmediklerini, bu kadar sabırsız ve öfkeli olmadıklarını, bizi seyrederken bile yorulduğunu söylüyor.” Bir başkası da şöyle yazmış; “Otuz yaşında yaklaşık 4,5 ay sonra baba olacak bir baba adayıyım. Bugüne kadar geçen süre içinde baba olacağım düşüncesi üzerinde çok durmadığım için birçok şeyin farkında değildim. Ancak bugün bu düşünce üzerinde ilk adımımı attım ve daha ilk adımımda büyük bir eksik ile yola çıktığımı fark ettim. Bu sanki kutuplara keşfe giden kâşifin yanında soğuktan koruyucu kıyafetlerini almaması gibi bir hisse benziyor.” Yetişen her yeni kuşakla birlikte, onları yetiştiren anne ve babalardan da beklentiler artıyor. Toplumun gelişmesi için öncelikle ailede demokratik bir yapı kurulması şart. Bunun yolu da anne ve babaların geçmişten gelen korku kültürü kalıplarından kurtulmaları ve onur eşitliğine inanan sağlıklı gelişmiş bireyler yetiştirmeleri… Geliştiren Anne-Baba olmak için kendinizi ve çocuğunuzu tanımanız, beklentilerinizi, niyetinizi keşfetmeniz; değerlerinizi ve aile ilişkinizi sağlıklı tutmanız önemli. Bilen, anlayan, seven gözlerle yaşama bakmak kendi elinizde… Güler yüzlü, sakin, güvenen, hayata, ailesine şükür duygusu içinde bakan bir anne, bir baba olmak çocuklarınıza verebileceğiniz en büyük armağandır. Çocuklar böyle bir armağanı hak ediyorlar. DOĞAN CÜCELOĞLU",5,5,6,Mövcud deyil,"Satıldı, Bestseller, Ekspress","Türk Dilində Kitablar, Bestsellerlər, Xanımlar üçün hədiyyələr, Bəylər üçün hədiyyələr, Qeyri-Bədii Ədəbiyyat, Bestseller, İş yoldaşları üçün hədiyyələr, Analar üçün hədiyyələr, Atalar üçün hədiyyələr, Sevgili üçün hədiyyələr, Bestseller, Psixologiya və Elm",https://static.insales-cdn.com/r/Y349xUbI9VQ/rs:fit:570:570:1/q:80/plain/images/products/1/1084/501212220/0001948043001-1.jpg@jpg
https://alinino.az/product/naruto-2-cilt-en-kotu-musteri,Naruto 2. Cilt - En Kötü Müşteri,7.56 AZN,7.56,8.40 AZN,8.40,−10%,10,9786055686413,Gerekli Şeyler,Masaşi Kişimoto,208,208,Türk dili,Yumşaq,"Naruto, ünlü mangaka Masaşi Kişimoto tarafından yaratılan, 1999 yılından beri Japonya'da yayınlanan dünyaca ünlü manga serisi artık Türkiye'de. Bugüne kadar Japonya'da 100 milyondan fazla satan Naruto serisi, 2002 yılında bu başarısı taçlandırarak animeye uyarlandı. Ülkemizde de gösterilen bu anime, manga kültürünü dünyaya tanıtıp; Naruto'yu dünyadaki en önemli mangalardan biri haline getirdi. Yıllardan beri geniş bir hayran kitlesi tarafından Türkçe'de yayınlanması beklenen bu eser, manganın özünden hiçbir şey kaybetmemesine özen gösterilerek ve Japonya'da olduğu gibi sağdan sola okunacak biçimde hazırlandı. Yediden yetmişe herkese hitap eden Naruto, çizgi roman kültürü ile ilgili olmayanların bile severek okuyabileceği bir eser. Naruto, ilgiye ihtiyacı olan, yaramazlıklarla dolu ve içinde garip bir gücün mühürlü bulunduğu ninja eğitimi alan bir çocuktur. Kendine has davranışları hocası Kakaşi'yi bezdirip, takım arkadaşları Sasuke ve Sakura'yı rahatsız etmektedir. Ama Naruto Konaha Köyü'nün en büyük ninjası olma konusunda kararlıdır.",5,5,2,Mövcud deyil,"Satıldı, Bestseller, Ekspress","MANGA və Komiks, Türk Dilində Kitablar, Bestsellerlər, Xanımlar üçün hədiyyələr, Bəylər üçün hədiyyələr, Bədii Ədəbiyyat *, Manqa, komiks, Bestseller, İş yoldaşları üçün hədiyyələr, Analar üçün hədiyyələr, Atalar üçün hədiyyələr, Sevgili üçün hədiyyələr, Bestseller",https://static.insales-cdn.com/r/QBD5nSqOBYg/rs:fit:570:570:1/q:80/plain/images/products/1/1069/501212205/0000000386222-1.jpg@jpg
https://alinino.az/product/rowley-jeffersons-awesome-friendly-adventure-2,Rowley Jefferson's Awesome Friendly Adventure,17.58 AZN,17.58,18.50 AZN,18.50,−5%,5,9780241501405,Penguin,Jeff Kinney,224,224,İngilis dili,Paperback,"You've never seen the Wimpy Kid World like this before - an entirely new, awesome, friendly, truly fantastic fantasy quest from #1 international bestselling author Jeff Kinney! From the imagination of Wimpy Kid's Rowley Jefferson comes an adventure of epic proportions! Join Roland and his best friend, Garg the Barbarian, as they leave the safety of their village and embark on a quest to save Roland's mum from the White Warlock. Will our heroes survive? Find out in Rowley Jefferson's Awesome Friendly Adventure! And don't miss Rowley Jefferson's first book, the instant #1 bestseller, Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal.",5,5,2,Mövcud deyil,"Satıldı, Bestseller, Ekspress","İngilis Dilində Kitablar, Bestsellerlər, Bestseller, Uşaq Ədəbiyyatı, Uşaqlar Üçün Bədii Ədəbiyyat, Bestseller",https://static.insales-cdn.com/r/LqeI1fkG4Ww/rs:fit:570:570:1/q:80/plain/images/products/1/5403/501208347/91EJ3mlmV9S.jpg@jpg
https://alinino.az/product/seven-husbands-of-evelyn-hugo,Seven Husbands of Evelyn Hugo,25.18 AZN,25.18,26.50 AZN,26.50,−5%,5,9781398515697,Simon & Schuster Ltd,Taylor Jenkins Reid,400,400,İngilis dili,Paperback,"'Riveting, heart-wrenching and full of Old Hollywood glamour' BuzzFeed'This wildly addictive journey of a reclusive Hollywood starlet and her tumultuous Tinseltown journey comes with unexpected twists and the most satisfying of drama' PopSugarFrom the author of Daisy Jones & The Six in which a legendary film actress reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine.Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now?Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career.Summoned to Evelyn's luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the '80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn's story near its conclusion, it becomes clear that her life intersects with Monique's own in tragic and irreversible ways.The Seven Husbands of Evelyn Hugo is a mesmerizing journey through the splendour of old Hollywood into the harsh realities of the present day as two women struggle with what it means and what it costs to face the truth.",0,0,0,Mövcud deyil,"Satıldı, Bestseller, Ekspress","İngilis Dilində Kitablar, Bestsellerlər, Bestseller, İngilis Dilində Bədii Ədəbiyyat, Bestseller, Müasir  nəsr",https://static.insales-cdn.com/r/-eTHgb900hg/rs:fit:570:570:1/q:80/plain/images/products/1/1259/500622571/9781398515697.jpg@jpg
https://alinino.az/product/circe,Circe,42.75 AZN,42.75,45 AZN,45,−5%,5,9781408890080,Bloomsbury Publishing PLC,Madeline Miller,352,352,İngilis dili,Paperback,,0,0,0,Mövcud deyil,"Satıldı, Bestseller, Ekspress","İngilis Dilində Kitablar, Bestsellerlər, Bestseller, İngilis Dilində Bədii Ədəbiyyat, Bestseller, Fantastika",https://static.insales-cdn.com/r/9_qHx1tT1cg/rs:fit:570:570:1/q:80/plain/images/products/1/772/500622084/9781408890080.jpg@jpg
https://alinino.az/product/dom-guchchi-sensatsionnaya-istoriya-ubiystva-bezumiya-glamura,"Дом Гуччи. Сенсационная история убийства, безумия, гламура",17.73 AZN,17.73,19.70 AZN,19.70,−10%,10,9785041552107,Эксмо,Форден Сара Гэй,544,544,Rus dili,Твердый,"Мировая кинопремьера! Главная книга о модном доме GUCCI, ставшая основой фильма Ридли Скотта ""Дом Gucci"" - с Аль Пачино, Леди Гага, Адамом Драйвером и Джаредом Лето в главных ролях. История создания модного бренда - и последующих скандалов, личных трагедий и убийства Маурицио Гуччи. Утром 27 марта 1995 года четыре выстрела прогремели на элегантных улицах Милана. Маурицио Гуччи, наследник легендарной модной династии, был убит на пороге своего офиса. Два года спустя начальник полиции Милана вошел в роскошный палаццо бывшей жены Маурицио, Патриции Реджани, которую пресса прозвала ""Черной вдовой"", и арестовал ее за убийство.",5,5,1,Mövcud deyil,"Satıldı, Bestseller, Ekspress","Rus Dilində Kitablar, Bestsellerlər, Xanımlar üçün hədiyyələr, Bəylər üçün hədiyyələr, Qeyri-Bədii Ədəbiyyat, Bestseller, İş yoldaşları üçün hədiyyələr, Sevgili üçün hədiyyələr, Bestseller, Memuarlar. Bioqrafiyalar. Aforizmlər, İncəsənət. Mədəniyyət. Memarlıq",https://static.insales-cdn.com/r/0n8AShuIZhE/rs:fit:570:570:1/q:80/plain/images/products/1/4733/498782845/uk917710.jpg@jpg
https://alinino.az/product/rebenok-v-tebe-dolzhen-obresti-dom-vernutsya-v-detstvo-chtoby-ispravit-vzroslye-oshibki-2,"Ребенок в тебе должен обрести дом. Вернуться в детство, чтобы исправить взрослые ошибки",9.09 AZN,9.09,10.10 AZN,10.10,−10%,10,9785041194048,Эксмо,Стефани Шталь,352,352,Rus dili,Твердый,,0,0,0,Mövcud deyil,"Satıldı, Bestseller, Ekspress","Rus Dilində Kitablar, Bestsellerlər, Qeyri-Bədii Ədəbiyyat, Bestseller, Bestseller, Ana Və Uşaq. Tərbiyyə",https://static.insales-cdn.com/r/nEvhlgDiZgU/rs:fit:570:570:1/q:80/plain/images/products/1/2182/497887366/uk570327.jpg@jpg
https://alinino.az/product/harri-potter-ve-olum-yadigarlari,Harri Potter və ölüm yadigarları-kitab 7,12.74 AZN,12.74,14.99 AZN,14.99,−15%,15,9789952380361,Qanun Nəşriyyatı,C.K.Roulinq,640,640,Azərbaycan,Bərk,"Hər kəsin sevimlisinə çevrilmiş, əsasında film də çəkilmiş  ""Harri Potter"" seriyasının bu bölümü inanılmaz həyacan dolu hadisələri ilə diqqət çəkir. Kitabın sonluğu gözlədiyinizin tam əksini sizə vəd edir! Harri artıq uşaq deyil, gənc də deyil. Artıq yetkin bir insan olan Harri Potter ""Ölüm yadigarları"" seriyasında əvvəlki altı seriyada yaşadığı təhlükə və həyacandan daha çoxunu yaşayır. Oxucu Harri Potterə qoşularaq inanılmaz qorxulu, nəfəs kəsən, indiyədək görülməyən  sirli bir səyahətə yollanır! Kitab boyu həm həyacan keçirəcək, həm nəfəsinizi çəkərək oxuyacaq, həm də təsirlənək göz yaşlarınızı boğa bilməyəcəksiniz.",5,5,4,Mövcud deyil,"Satıldı, Bestseller, Ekspress","Azərbaycan Dilində Kitablar, Bestsellerlər, Balaca oğlanlar üçün hədiyyələr, Uşaq Ədəbiyyatı, Bestseller, Bestseller, Uşaqlar Üçün Bədii Ədəbiyyat, 0-6 yaş, 6-12 yaş",https://static.insales-cdn.com/r/Tabp3TuwQwQ/rs:fit:570:570:1/q:80/plain/images/products/1/4757/497488533/Harry_Potter_7_Hard_Cover_.png@png
https://alinino.az/product/insan-nedir-2cba3b,İnsan Nedir,4.32 AZN,4.32,4.80 AZN,4.80,−10%,10,,Destek Yayınları,Mark Twain,144,144,Türk dili,Yumşaq,,0,0,0,Mövcud deyil,"Satıldı, Bestseller, Ekspress","Türk Dilində Kitablar, Bestsellerlər, Bədii Ədəbiyyat *, Bestseller, Dünya Və Türk Klassikası, Bestseller",https://static.insales-cdn.com/r/QaLTc3EQdGg/rs:fit:570:570:1/q:80/plain/images/products/1/1896/495470440/0001905048001-1.jpg@jpg
